x,y,cc,treatment,area,source
563693.8701396915,5705704.700268422,121.0,treated,non-inoculated,uas
563702.986672939,5705704.700268422,128.0,treated,non-inoculated,uas
563712.1032061864,5705704.700268422,113.0,treated,non-inoculated,uas
563721.219739434,5705704.700268422,114.0,treated,non-inoculated,uas
563730.3362726814,5705704.700268422,119.0,treated,non-inoculated,uas
563739.4528059289,5705704.700268422,118.0,treated,non-inoculated,uas
563748.5693391763,5705704.700268422,117.0,treated,non-inoculated,uas
563757.6858724238,5705704.700268422,129.0,treated,non-inoculated,uas
563766.8024056712,5705704.700268422,118.0,treated,non-inoculated,uas
563775.9189389186,5705704.700268422,122.0,treated,non-inoculated,uas
563693.8701396915,5705695.583735175,118.0,treated,non-inoculated,uas
563702.986672939,5705695.583735175,123.0,treated,non-inoculated,uas
563712.1032061864,5705695.583735175,109.0,treated,non-inoculated,uas
563721.219739434,5705695.583735175,119.0,treated,non-inoculated,uas
563748.5693391763,5705695.583735175,116.0,treated,non-inoculated,uas
563757.6858724238,5705695.583735175,128.0,treated,non-inoculated,uas
563766.8024056712,5705695.583735175,119.0,treated,non-inoculated,uas
563775.9189389186,5705695.583735175,128.0,treated,non-inoculated,uas
563693.8701396915,5705686.467201928,121.0,treated,non-inoculated,uas
563702.986672939,5705686.467201928,119.0,treated,non-inoculated,uas
563712.1032061864,5705686.467201928,114.0,treated,non-inoculated,uas
563757.6858724238,5705686.467201928,124.0,treated,non-inoculated,uas
563766.8024056712,5705686.467201928,119.0,treated,non-inoculated,uas
563684.7536064441,5705677.35066868,117.0,treated,non-inoculated,uas
563693.8701396915,5705677.35066868,125.0,treated,non-inoculated,uas
563702.986672939,5705677.35066868,109.0,treated,non-inoculated,uas
563712.1032061864,5705677.35066868,113.0,treated,non-inoculated,uas
563757.6858724238,5705677.35066868,115.0,treated,non-inoculated,uas
563766.8024056712,5705677.35066868,119.0,treated,non-inoculated,uas
563684.7536064441,5705668.234135433,115.0,treated,non-inoculated,uas
563693.8701396915,5705668.234135433,124.0,treated,non-inoculated,uas
563702.986672939,5705668.234135433,108.0,treated,non-inoculated,uas
563712.1032061864,5705668.234135433,111.0,treated,non-inoculated,uas
563757.6858724238,5705668.234135433,111.0,treated,non-inoculated,uas
563766.8024056712,5705668.234135433,116.0,treated,non-inoculated,uas
563684.7536064441,5705659.117602185,116.0,treated,non-inoculated,uas
563693.8701396915,5705659.117602185,125.0,treated,non-inoculated,uas
563702.986672939,5705659.117602185,109.0,treated,non-inoculated,uas
563712.1032061864,5705659.117602185,114.0,treated,non-inoculated,uas
563721.219739434,5705659.117602185,105.0,treated,non-inoculated,uas
563748.5693391763,5705659.117602185,121.0,treated,non-inoculated,uas
563757.6858724238,5705659.117602185,110.0,treated,non-inoculated,uas
563766.8024056712,5705659.117602185,116.0,treated,non-inoculated,uas
563684.7536064441,5705650.001068938,109.0,treated,non-inoculated,uas
563693.8701396915,5705650.001068938,117.0,treated,non-inoculated,uas
563702.986672939,5705650.001068938,107.0,treated,non-inoculated,uas
563712.1032061864,5705650.001068938,103.0,treated,non-inoculated,uas
563721.219739434,5705650.001068938,104.0,treated,non-inoculated,uas
563730.3362726814,5705650.001068938,108.0,treated,non-inoculated,uas
563739.4528059289,5705650.001068938,105.0,treated,non-inoculated,uas
563748.5693391763,5705650.001068938,117.0,treated,non-inoculated,uas
563757.6858724238,5705650.001068938,109.0,treated,non-inoculated,uas
563766.8024056712,5705650.001068938,112.0,treated,non-inoculated,uas
563684.7536064441,5705640.884535691,110.0,treated,non-inoculated,uas
563693.8701396915,5705640.884535691,112.0,treated,non-inoculated,uas
563702.986672939,5705640.884535691,102.0,treated,non-inoculated,uas
563748.5693391763,5705640.884535691,98.0,treated,non-inoculated,uas
563757.6858724238,5705640.884535691,91.0,treated,non-inoculated,uas
563684.7536064441,5705631.768002443,105.0,treated,non-inoculated,uas
563693.8701396915,5705631.768002443,95.0,treated,non-inoculated,uas
563702.986672939,5705631.768002443,94.0,treated,non-inoculated,uas
563748.5693391763,5705631.768002443,89.0,treated,non-inoculated,uas
563757.6858724238,5705631.768002443,81.0,treated,non-inoculated,uas
563675.6370731966,5705622.651469195,98.0,treated,non-inoculated,uas
563684.7536064441,5705622.651469195,100.0,treated,non-inoculated,uas
563693.8701396915,5705622.651469195,86.0,treated,non-inoculated,uas
563702.986672939,5705622.651469195,89.0,treated,non-inoculated,uas
563748.5693391763,5705622.651469195,85.0,treated,non-inoculated,uas
563757.6858724238,5705622.651469195,84.0,treated,non-inoculated,uas
563675.6370731966,5705613.5349359475,91.0,treated,non-inoculated,uas
563684.7536064441,5705613.5349359475,99.0,treated,non-inoculated,uas
563693.8701396915,5705613.5349359475,85.0,treated,non-inoculated,uas
563702.986672939,5705613.5349359475,87.0,treated,non-inoculated,uas
563748.5693391763,5705613.5349359475,79.0,treated,non-inoculated,uas
563757.6858724238,5705613.5349359475,85.0,treated,non-inoculated,uas
563675.6370731966,5705604.418402701,82.0,treated,non-inoculated,uas
563684.7536064441,5705604.418402701,79.0,treated,non-inoculated,uas
563693.8701396915,5705604.418402701,88.0,treated,non-inoculated,uas
563702.986672939,5705604.418402701,85.0,treated,non-inoculated,uas
563712.1032061864,5705604.418402701,90.0,treated,non-inoculated,uas
563721.219739434,5705604.418402701,78.0,treated,non-inoculated,uas
563730.3362726814,5705604.418402701,74.0,treated,non-inoculated,uas
563739.4528059289,5705604.418402701,93.0,treated,non-inoculated,uas
563748.5693391763,5705604.418402701,81.0,treated,non-inoculated,uas
563757.6858724238,5705604.418402701,89.0,treated,non-inoculated,uas
563602.7048072169,5705704.700268422,121.0,untreated,non-inoculated,uas
563611.8213404644,5705704.700268422,128.0,untreated,non-inoculated,uas
563620.9378737118,5705704.700268422,136.0,untreated,non-inoculated,uas
563630.0544069593,5705704.700268422,123.0,untreated,non-inoculated,uas
563639.1709402067,5705704.700268422,122.0,untreated,non-inoculated,uas
563648.2874734543,5705704.700268422,118.0,untreated,non-inoculated,uas
563657.4040067017,5705704.700268422,108.0,untreated,non-inoculated,uas
563666.5205399492,5705704.700268422,106.0,untreated,non-inoculated,uas
563675.6370731966,5705704.700268422,125.0,untreated,non-inoculated,uas
563684.7536064441,5705704.700268422,123.0,untreated,non-inoculated,uas
563602.7048072169,5705695.583735175,127.0,untreated,non-inoculated,uas
563611.8213404644,5705695.583735175,128.0,untreated,non-inoculated,uas
563648.2874734543,5705695.583735175,117.0,untreated,non-inoculated,uas
563657.4040067017,5705695.583735175,107.0,untreated,non-inoculated,uas
563666.5205399492,5705695.583735175,107.0,untreated,non-inoculated,uas
563675.6370731966,5705695.583735175,124.0,untreated,non-inoculated,uas
563684.7536064441,5705695.583735175,119.0,untreated,non-inoculated,uas
563593.5882739695,5705686.467201928,128.0,untreated,non-inoculated,uas
563602.7048072169,5705686.467201928,127.0,untreated,non-inoculated,uas
563611.8213404644,5705686.467201928,131.0,untreated,non-inoculated,uas
563657.4040067017,5705686.467201928,108.0,untreated,non-inoculated,uas
563666.5205399492,5705686.467201928,117.0,untreated,non-inoculated,uas
563675.6370731966,5705686.467201928,121.0,untreated,non-inoculated,uas
563684.7536064441,5705686.467201928,121.0,untreated,non-inoculated,uas
563593.5882739695,5705677.35066868,121.0,untreated,non-inoculated,uas
563602.7048072169,5705677.35066868,125.0,untreated,non-inoculated,uas
563611.8213404644,5705677.35066868,136.0,untreated,non-inoculated,uas
563657.4040067017,5705677.35066868,108.0,untreated,non-inoculated,uas
