x,y,das,treatment,area,source,date
563690.984506289,5705715.293852082,154.0,treated,non-inoculated,observation,2022-09-01
563694.3436021234,5705715.293852082,167.0,treated,non-inoculated,observation,2022-09-14
563697.7026979579,5705715.293852082,166.0,treated,non-inoculated,observation,2022-09-13
563701.0617937924,5705715.293852082,166.0,treated,non-inoculated,observation,2022-09-13
563704.4208896268,5705715.293852082,166.0,treated,non-inoculated,observation,2022-09-13
563707.7799854613,5705715.293852082,166.0,treated,non-inoculated,observation,2022-09-13
563717.8572729647,5705715.293852082,167.0,treated,non-inoculated,observation,2022-09-14
563690.984506289,5705711.934756248,154.0,treated,non-inoculated,observation,2022-09-01
563694.3436021234,5705711.934756248,167.0,treated,non-inoculated,observation,2022-09-14
563697.7026979579,5705711.934756248,166.0,treated,non-inoculated,observation,2022-09-13
563701.0617937924,5705711.934756248,166.0,treated,non-inoculated,observation,2022-09-13
563704.4208896268,5705711.934756248,166.0,treated,non-inoculated,observation,2022-09-13
563707.7799854613,5705711.934756248,166.0,treated,non-inoculated,observation,2022-09-13
563717.8572729647,5705711.934756248,167.0,treated,non-inoculated,observation,2022-09-14
563694.3436021234,5705708.575660413,167.0,treated,non-inoculated,observation,2022-09-14
563704.4208896268,5705708.575660413,166.0,treated,non-inoculated,observation,2022-09-13
563707.7799854613,5705708.575660413,167.0,treated,non-inoculated,observation,2022-09-14
563717.8572729647,5705708.575660413,167.0,treated,non-inoculated,observation,2022-09-14
563724.5754646336,5705708.575660413,167.0,treated,non-inoculated,observation,2022-09-14
563734.652752137,5705708.575660413,167.0,treated,non-inoculated,observation,2022-09-14
563738.0118479715,5705708.575660413,166.0,treated,non-inoculated,observation,2022-09-13
563741.3709438059,5705708.575660413,166.0,treated,non-inoculated,observation,2022-09-13
563744.7300396404,5705708.575660413,167.0,treated,non-inoculated,observation,2022-09-14
563748.0891354749,5705708.575660413,167.0,treated,non-inoculated,observation,2022-09-14
563751.4482313093,5705708.575660413,166.0,treated,non-inoculated,observation,2022-09-13
563761.5255188127,5705708.575660413,167.0,treated,non-inoculated,observation,2022-09-14
563768.2437104817,5705708.575660413,167.0,treated,non-inoculated,observation,2022-09-14
563771.6028063161,5705708.575660413,167.0,treated,non-inoculated,observation,2022-09-14
563774.9619021505,5705708.575660413,167.0,treated,non-inoculated,observation,2022-09-14
