x,y,lai,treatment,area,source
563691.5909730454,5705711.537670245,0.65,treated,non-inoculated,uas_t1
563696.1492384113,5705711.537670245,0.6,treated,non-inoculated,uas_t1
563700.7075037771,5705711.537670245,0.5,treated,non-inoculated,uas_t1
563705.265769143,5705711.537670245,0.45,treated,non-inoculated,uas_t1
563709.8240345088,5705711.537670245,0.75,treated,non-inoculated,uas_t1
563714.3822998747,5705711.537670245,0.7,treated,non-inoculated,uas_t1
563718.9405652406,5705711.537670245,0.7,treated,non-inoculated,uas_t1
563723.4988306063,5705711.537670245,0.65,treated,non-inoculated,uas_t1
563728.0570959722,5705711.537670245,0.55,treated,non-inoculated,uas_t1
563732.615361338,5705711.537670245,0.5,treated,non-inoculated,uas_t1
563737.1736267039,5705711.537670245,0.7,treated,non-inoculated,uas_t1
563741.7318920697,5705711.537670245,0.6,treated,non-inoculated,uas_t1
563746.2901574356,5705711.537670245,0.6,treated,non-inoculated,uas_t1
563750.8484228014,5705711.537670245,0.65,treated,non-inoculated,uas_t1
563755.4066881672,5705711.537670245,0.5,treated,non-inoculated,uas_t1
563759.964953533,5705711.537670245,0.5,treated,non-inoculated,uas_t1
563764.5232188989,5705711.537670245,0.6,treated,non-inoculated,uas_t1
563769.0814842647,5705711.537670245,0.6,treated,non-inoculated,uas_t1
563773.6397496306,5705711.537670245,0.55,treated,non-inoculated,uas_t1
563778.1980149964,5705711.537670245,0.5,treated,non-inoculated,uas_t1
563782.7562803623,5705711.537670245,0.45,treated,non-inoculated,uas_t1
563691.5909730454,5705706.97940488,0.55,treated,non-inoculated,uas_t1
563696.1492384113,5705706.97940488,0.6,treated,non-inoculated,uas_t1
563700.7075037771,5705706.97940488,0.45,treated,non-inoculated,uas_t1
563705.265769143,5705706.97940488,0.55,treated,non-inoculated,uas_t1
563709.8240345088,5705706.97940488,0.7,treated,non-inoculated,uas_t1
563714.3822998747,5705706.97940488,0.65,treated,non-inoculated,uas_t1
563718.9405652406,5705706.97940488,0.7,treated,non-inoculated,uas_t1
563723.4988306063,5705706.97940488,0.65,treated,non-inoculated,uas_t1
563728.0570959722,5705706.97940488,0.5,treated,non-inoculated,uas_t1
563732.615361338,5705706.97940488,0.65,treated,non-inoculated,uas_t1
563737.1736267039,5705706.97940488,0.7,treated,non-inoculated,uas_t1
563741.7318920697,5705706.97940488,0.6,treated,non-inoculated,uas_t1
563746.2901574356,5705706.97940488,0.65,treated,non-inoculated,uas_t1
563750.8484228014,5705706.97940488,0.6,treated,non-inoculated,uas_t1
563755.4066881672,5705706.97940488,0.45,treated,non-inoculated,uas_t1
563759.964953533,5705706.97940488,0.55,treated,non-inoculated,uas_t1
563764.5232188989,5705706.97940488,0.65,treated,non-inoculated,uas_t1
563769.0814842647,5705706.97940488,0.6,treated,non-inoculated,uas_t1
563773.6397496306,5705706.97940488,0.65,treated,non-inoculated,uas_t1
563778.1980149964,5705706.97940488,0.5,treated,non-inoculated,uas_t1
563782.7562803623,5705706.97940488,0.45,treated,non-inoculated,uas_t1
563691.5909730454,5705702.421139513,0.55,treated,non-inoculated,uas_t1
563696.1492384113,5705702.421139513,0.7,treated,non-inoculated,uas_t1
563700.7075037771,5705702.421139513,0.4,treated,non-inoculated,uas_t1
563705.265769143,5705702.421139513,0.65,treated,non-inoculated,uas_t1
563709.8240345088,5705702.421139513,0.7,treated,non-inoculated,uas_t1
563714.3822998747,5705702.421139513,0.7,treated,non-inoculated,uas_t1
563718.9405652406,5705702.421139513,0.6,treated,non-inoculated,uas_t1
563723.4988306063,5705702.421139513,0.75,treated,non-inoculated,uas_t1
563728.0570959722,5705702.421139513,0.5,treated,non-inoculated,uas_t1
563732.615361338,5705702.421139513,0.8,treated,non-inoculated,uas_t1
563737.1736267039,5705702.421139513,0.55,treated,non-inoculated,uas_t1
563741.7318920697,5705702.421139513,0.65,treated,non-inoculated,uas_t1
563746.2901574356,5705702.421139513,0.75,treated,non-inoculated,uas_t1
563750.8484228014,5705702.421139513,0.55,treated,non-inoculated,uas_t1
563755.4066881672,5705702.421139513,0.45,treated,non-inoculated,uas_t1
563759.964953533,5705702.421139513,0.6,treated,non-inoculated,uas_t1
563764.5232188989,5705702.421139513,0.7,treated,non-inoculated,uas_t1
563769.0814842647,5705702.421139513,0.55,treated,non-inoculated,uas_t1
563773.6397496306,5705702.421139513,0.65,treated,non-inoculated,uas_t1
563778.1980149964,5705702.421139513,0.55,treated,non-inoculated,uas_t1
563782.7562803623,5705702.421139513,0.4,treated,non-inoculated,uas_t1
563687.0327076797,5705697.8628741475,0.6,treated,non-inoculated,uas_t1
563691.5909730454,5705697.8628741475,0.6,treated,non-inoculated,uas_t1
563696.1492384113,5705697.8628741475,0.75,treated,non-inoculated,uas_t1
563700.7075037771,5705697.8628741475,0.45,treated,non-inoculated,uas_t1
563705.265769143,5705697.8628741475,0.65,treated,non-inoculated,uas_t1
563709.8240345088,5705697.8628741475,0.8,treated,non-inoculated,uas_t1
563714.3822998747,5705697.8628741475,0.7,treated,non-inoculated,uas_t1
563718.9405652406,5705697.8628741475,0.6,treated,non-inoculated,uas_t1
563723.4988306063,5705697.8628741475,0.6,treated,non-inoculated,uas_t1
563728.0570959722,5705697.8628741475,0.45,treated,non-inoculated,uas_t1
563741.7318920697,5705697.8628741475,0.55,treated,non-inoculated,uas_t1
563746.2901574356,5705697.8628741475,0.7,treated,non-inoculated,uas_t1
563750.8484228014,5705697.8628741475,0.65,treated,non-inoculated,uas_t1
563755.4066881672,5705697.8628741475,0.45,treated,non-inoculated,uas_t1
563759.964953533,5705697.8628741475,0.6,treated,non-inoculated,uas_t1
563764.5232188989,5705697.8628741475,0.7,treated,non-inoculated,uas_t1
563769.0814842647,5705697.8628741475,0.55,treated,non-inoculated,uas_t1
563773.6397496306,5705697.8628741475,0.6,treated,non-inoculated,uas_t1
563778.1980149964,5705697.8628741475,0.5,treated,non-inoculated,uas_t1
563782.7562803623,5705697.8628741475,0.3,treated,non-inoculated,uas_t1
563687.0327076797,5705693.304608782,0.6,treated,non-inoculated,uas_t1
563691.5909730454,5705693.304608782,0.55,treated,non-inoculated,uas_t1
563696.1492384113,5705693.304608782,0.65,treated,non-inoculated,uas_t1
563700.7075037771,5705693.304608782,0.45,treated,non-inoculated,uas_t1
563705.265769143,5705693.304608782,0.75,treated,non-inoculated,uas_t1
563709.8240345088,5705693.304608782,0.8,treated,non-inoculated,uas_t1
563714.3822998747,5705693.304608782,0.65,treated,non-inoculated,uas_t1
563718.9405652406,5705693.304608782,0.65,treated,non-inoculated,uas_t1
563750.8484228014,5705693.304608782,0.65,treated,non-inoculated,uas_t1
563755.4066881672,5705693.304608782,0.45,treated,non-inoculated,uas_t1
563759.964953533,5705693.304608782,0.6,treated,non-inoculated,uas_t1
563764.5232188989,5705693.304608782,0.6,treated,non-inoculated,uas_t1
563769.0814842647,5705693.304608782,0.6,treated,non-inoculated,uas_t1
563773.6397496306,5705693.304608782,0.55,treated,non-inoculated,uas_t1
563778.1980149964,5705693.304608782,0.55,treated,non-inoculated,uas_t1
563687.0327076797,5705688.746343416,0.65,treated,non-inoculated,uas_t1
563691.5909730454,5705688.746343416,0.7,treated,non-inoculated,uas_t1
563696.1492384113,5705688.746343416,0.5,treated,non-inoculated,uas_t1
563700.7075037771,5705688.746343416,0.5,treated,non-inoculated,uas_t1
563705.265769143,5705688.746343416,0.7,treated,non-inoculated,uas_t1
563709.8240345088,5705688.746343416,0.65,treated,non-inoculated,uas_t1
563714.3822998747,5705688.746343416,0.65,treated,non-inoculated,uas_t1
563755.4066881672,5705688.746343416,0.5,treated,non-inoculated,uas_t1
563759.964953533,5705688.746343416,0.6,treated,non-inoculated,uas_t1
563764.5232188989,5705688.746343416,0.55,treated,non-inoculated,uas_t1
563769.0814842647,5705688.746343416,0.65,treated,non-inoculated,uas_t1
563773.6397496306,5705688.746343416,0.55,treated,non-inoculated,uas_t1
563778.1980149964,5705688.746343416,0.45,treated,non-inoculated,uas_t1
563687.0327076797,5705684.1880780505,0.6,treated,non-inoculated,uas_t1
563691.5909730454,5705684.1880780505,0.7,treated,non-inoculated,uas_t1
563696.1492384113,5705684.1880780505,0.5,treated,non-inoculated,uas_t1
563700.7075037771,5705684.1880780505,0.55,treated,non-inoculated,uas_t1
563705.265769143,5705684.1880780505,0.7,treated,non-inoculated,uas_t1
563709.8240345088,5705684.1880780505,0.7,treated,non-inoculated,uas_t1
563714.3822998747,5705684.1880780505,0.7,treated,non-inoculated,uas_t1
563755.4066881672,5705684.1880780505,0.5,treated,non-inoculated,uas_t1
563759.964953533,5705684.1880780505,0.65,treated,non-inoculated,uas_t1
563764.5232188989,5705684.1880780505,0.6,treated,non-inoculated,uas_t1
563769.0814842647,5705684.1880780505,0.65,treated,non-inoculated,uas_t1
563773.6397496306,5705684.1880780505,0.55,treated,non-inoculated,uas_t1
563778.1980149964,5705684.1880780505,0.5,treated,non-inoculated,uas_t1
563687.0327076797,5705679.629812684,0.6,treated,non-inoculated,uas_t1
563691.5909730454,5705679.629812684,0.65,treated,non-inoculated,uas_t1
563696.1492384113,5705679.629812684,0.4,treated,non-inoculated,uas_t1
563700.7075037771,5705679.629812684,0.7,treated,non-inoculated,uas_t1
563705.265769143,5705679.629812684,0.75,treated,non-inoculated,uas_t1
563709.8240345088,5705679.629812684,0.65,treated,non-inoculated,uas_t1
563714.3822998747,5705679.629812684,0.7,treated,non-inoculated,uas_t1
563755.4066881672,5705679.629812684,0.6,treated,non-inoculated,uas_t1
563759.964953533,5705679.629812684,0.65,treated,non-inoculated,uas_t1
563764.5232188989,5705679.629812684,0.6,treated,non-inoculated,uas_t1
563769.0814842647,5705679.629812684,0.65,treated,non-inoculated,uas_t1
563773.6397496306,5705679.629812684,0.6,treated,non-inoculated,uas_t1
563778.1980149964,5705679.629812684,0.45,treated,non-inoculated,uas_t1
