x,y,cc,treatment,area,source
563689.4941585688,5705706.929437444,87.0,treated,non-inoculated,uas
563697.1520435829,5705706.929437444,86.0,treated,non-inoculated,uas
563704.809928597,5705706.929437444,90.0,treated,non-inoculated,uas
563712.4678136109,5705706.929437444,78.0,treated,non-inoculated,uas
563720.125698625,5705706.929437444,80.0,treated,non-inoculated,uas
563727.7835836391,5705706.929437444,87.0,treated,non-inoculated,uas
563735.4414686532,5705706.929437444,78.0,treated,non-inoculated,uas
563743.0993536672,5705706.929437444,81.0,treated,non-inoculated,uas
563750.7572386813,5705706.929437444,82.0,treated,non-inoculated,uas
563758.4151236954,5705706.929437444,94.0,treated,non-inoculated,uas
563766.0730087094,5705706.929437444,83.0,treated,non-inoculated,uas
563773.7308937234,5705706.929437444,82.0,treated,non-inoculated,uas
563781.3887787375,5705706.929437444,98.0,treated,non-inoculated,uas
563689.4941585688,5705699.27155243,86.0,treated,non-inoculated,uas
563697.1520435829,5705699.27155243,84.0,treated,non-inoculated,uas
563704.809928597,5705699.27155243,82.0,treated,non-inoculated,uas
563712.4678136109,5705699.27155243,77.0,treated,non-inoculated,uas
563720.125698625,5705699.27155243,83.0,treated,non-inoculated,uas
563727.7835836391,5705699.27155243,85.0,treated,non-inoculated,uas
563735.4414686532,5705699.27155243,82.0,treated,non-inoculated,uas
563743.0993536672,5705699.27155243,80.0,treated,non-inoculated,uas
563750.7572386813,5705699.27155243,83.0,treated,non-inoculated,uas
563758.4151236954,5705699.27155243,89.0,treated,non-inoculated,uas
563766.0730087094,5705699.27155243,82.0,treated,non-inoculated,uas
563773.7308937234,5705699.27155243,87.0,treated,non-inoculated,uas
563781.3887787375,5705699.27155243,103.0,treated,non-inoculated,uas
563689.4941585688,5705691.613667415,82.0,treated,non-inoculated,uas
563697.1520435829,5705691.613667415,88.0,treated,non-inoculated,uas
563704.809928597,5705691.613667415,79.0,treated,non-inoculated,uas
563712.4678136109,5705691.613667415,80.0,treated,non-inoculated,uas
563750.7572386813,5705691.613667415,85.0,treated,non-inoculated,uas
563758.4151236954,5705691.613667415,86.0,treated,non-inoculated,uas
563766.0730087094,5705691.613667415,87.0,treated,non-inoculated,uas
563773.7308937234,5705691.613667415,86.0,treated,non-inoculated,uas
563689.4941585688,5705683.955782401,82.0,treated,non-inoculated,uas
563697.1520435829,5705683.955782401,89.0,treated,non-inoculated,uas
563704.809928597,5705683.955782401,79.0,treated,non-inoculated,uas
563712.4678136109,5705683.955782401,79.0,treated,non-inoculated,uas
563758.4151236954,5705683.955782401,83.0,treated,non-inoculated,uas
563766.0730087094,5705683.955782401,84.0,treated,non-inoculated,uas
563773.7308937234,5705683.955782401,87.0,treated,non-inoculated,uas
563689.4941585688,5705676.297897387,81.0,treated,non-inoculated,uas
563697.1520435829,5705676.297897387,85.0,treated,non-inoculated,uas
563704.809928597,5705676.297897387,77.0,treated,non-inoculated,uas
563712.4678136109,5705676.297897387,77.0,treated,non-inoculated,uas
563758.4151236954,5705676.297897387,81.0,treated,non-inoculated,uas
563766.0730087094,5705676.297897387,83.0,treated,non-inoculated,uas
563773.7308937234,5705676.297897387,86.0,treated,non-inoculated,uas
563689.4941585688,5705668.640012373,82.0,treated,non-inoculated,uas
563697.1520435829,5705668.640012373,81.0,treated,non-inoculated,uas
563704.809928597,5705668.640012373,74.0,treated,non-inoculated,uas
563712.4678136109,5705668.640012373,77.0,treated,non-inoculated,uas
563758.4151236954,5705668.640012373,76.0,treated,non-inoculated,uas
563766.0730087094,5705668.640012373,79.0,treated,non-inoculated,uas
563773.7308937234,5705668.640012373,88.0,treated,non-inoculated,uas
563681.8362735547,5705660.982127359,81.0,treated,non-inoculated,uas
563689.4941585688,5705660.982127359,86.0,treated,non-inoculated,uas
563697.1520435829,5705660.982127359,78.0,treated,non-inoculated,uas
563704.809928597,5705660.982127359,77.0,treated,non-inoculated,uas
563712.4678136109,5705660.982127359,80.0,treated,non-inoculated,uas
