x,y,das,treatment,area,source,date
563689.6872760869,5705714.4187199995,154.0,treated,non-inoculated,observation,2022-09-01
563692.7430514493,5705714.4187199995,167.0,treated,non-inoculated,observation,2022-09-14
563695.7988268116,5705714.4187199995,167.0,treated,non-inoculated,observation,2022-09-14
563698.8546021739,5705714.4187199995,166.0,treated,non-inoculated,observation,2022-09-13
563701.9103775362,5705714.4187199995,166.0,treated,non-inoculated,observation,2022-09-13
563704.9661528985,5705714.4187199995,166.0,treated,non-inoculated,observation,2022-09-13
563708.0219282608,5705714.4187199995,166.0,treated,non-inoculated,observation,2022-09-13
563717.1892543478,5705714.4187199995,167.0,treated,non-inoculated,observation,2022-09-14
563695.7988268116,5705709.309359999,167.0,treated,non-inoculated,observation,2022-09-14
563704.9661528985,5705709.309359999,166.0,treated,non-inoculated,observation,2022-09-13
563708.0219282608,5705709.309359999,167.0,treated,non-inoculated,observation,2022-09-14
563717.1892543478,5705709.309359999,167.0,treated,non-inoculated,observation,2022-09-14
563723.3008050724,5705709.309359999,167.0,treated,non-inoculated,observation,2022-09-14
563735.5239065217,5705709.309359999,167.0,treated,non-inoculated,observation,2022-09-14
563738.579681884,5705709.309359999,166.0,treated,non-inoculated,observation,2022-09-13
563741.6354572463,5705709.309359999,166.0,treated,non-inoculated,observation,2022-09-13
563744.6912326087,5705709.309359999,167.0,treated,non-inoculated,observation,2022-09-14
563747.747007971,5705709.309359999,167.0,treated,non-inoculated,observation,2022-09-14
563750.8027833333,5705709.309359999,166.0,treated,non-inoculated,observation,2022-09-13
563763.0258847827,5705709.309359999,167.0,treated,non-inoculated,observation,2022-09-14
563769.1374355073,5705709.309359999,167.0,treated,non-inoculated,observation,2022-09-14
563772.1932108696,5705709.309359999,167.0,treated,non-inoculated,observation,2022-09-14
563775.2489862319,5705709.309359999,167.0,treated,non-inoculated,observation,2022-09-14
563778.3047615942,5705709.309359999,167.0,treated,non-inoculated,observation,2022-09-14
563781.3605369566,5705709.309359999,154.0,treated,non-inoculated,observation,2022-09-01
563784.4163123189,5705709.309359999,154.0,treated,non-inoculated,observation,2022-09-01
563689.6872760869,5705704.199999999,167.0,treated,non-inoculated,observation,2022-09-14
563695.7988268116,5705704.199999999,153.0,treated,non-inoculated,observation,2022-08-31
563708.0219282608,5705704.199999999,167.0,treated,non-inoculated,observation,2022-09-14
563720.2450297101,5705704.199999999,167.0,treated,non-inoculated,observation,2022-09-14
563735.5239065217,5705704.199999999,167.0,treated,non-inoculated,observation,2022-09-14
